,Absorption Coefficient Listing,,Absorption Coefficients,,,,,,
Surface Type,Code,Description,125 Hz,250 Hz,500 Hz,1k Hz,2k Hz,4k Hz,
WOOD AND WOOD PANELLING,207,"WOOD AND WOOD PANELLING - Plywood, hardwood panels over 25mm airspace on solid backing with absorbent material in air space",0.25,0.15,0.1,0.1,0.05,,
WOOD AND WOOD PANELLING,208,WOOD AND WOOD PANELLING - 12mm wood panelling on 25mm battens,0.33,0.14,0.1,0.1,0.12,,
WOOD AND WOOD PANELLING,209,"WOOD AND WOOD PANELLING - Timber boards, 100mm wide, 10mm gaps, 500mm airspace with mineral wool",0.25,0.6,0.15,0.05,0.1,,
WOOD AND WOOD PANELLING,210,"WOOD AND WOOD PANELLING - t & g board on frame, 50mm airspace with mineral wool",0.15,0.1,0.09,0.08,0.07,,
WOOD AND WOOD PANELLING,211,WOOD AND WOOD PANELLING - 16-22mm t&g wood on 50mm cavity filled with mineral wool,0.15,0.1,0.09,0.08,0.07,,
WOOD AND WOOD PANELLING,212,"WOOD AND WOOD PANELLING - Cedar, slotted and profiled on battens mineral wool in airspace",0.62,0.98,0.62,0.21,0.15,,
WOOD AND WOOD PANELLING,213,WOOD AND WOOD PANELLING - Wood boards on on joists or battens,0.2,0.1,0.1,0.1,0.1,,
WOOD AND WOOD PANELLING,214,WOOD AND WOOD PANELLING - 20mm dense veneered chipboard over 100mm airgap,0.05,0.04,0.03,0.03,0.02,,
WOOD AND WOOD PANELLING,215,WOOD AND WOOD PANELLING - 20mm dense veneered chipboard over 200mm airgap,0.1,0.08,0.09,0.07,0.04,,
WOOD AND WOOD PANELLING,216,WOOD AND WOOD PANELLING - 20mm dense veneered chipboard over 250mm airgap containing 50mm mineral wool,0.1,0.08,0.07,0.1,0.08,,
WOOD AND WOOD PANELLING,217,"WOOD AND WOOD PANELLING - 6mm wood fibre board, cavity > 100mm, empty",0.2,0.2,0.1,0.05,0.05,,
WOOD AND WOOD PANELLING,218,"WOOD AND WOOD PANELLING - 22mm chipboard, 50mm cavity filled with mineral wool",0.04,0.06,0.05,0.05,0.05,,
WOOD AND WOOD PANELLING,219,WOOD AND WOOD PANELLING - Acoustic timber wall panelling,0.34,0.42,0.59,0.83,0.68,,
WOOD AND WOOD PANELLING,220,"WOOD AND WOOD PANELLING - Hardwood, mahogany",0.23,0.25,0.3,0.37,0.42,,
WOOD AND WOOD PANELLING,221,WOOD AND WOOD PANELLING - Chipboard on 16mm battens,0.25,0.2,0.2,0.15,0.2,,
WOOD AND WOOD PANELLING,222,"WOOD AND WOOD PANELLING - Chipboard on frame, 50mm airspace with mineral wool",0.04,0.06,0.05,0.05,0.05,,
MINERAL WOOL AND FOAMS,223,MINERAL WOOL AND FOAMS - Melamine based foam 25mm,0.22,0.54,0.76,0.88,0.93,,
MINERAL WOOL AND FOAMS,224,MINERAL WOOL AND FOAMS - Melamine based foam 50mm,0.56,0.96,1,1,1,,
MINERAL WOOL AND FOAMS,225,MINERAL WOOL AND FOAMS - Glass wool 25mm 16 kg/m3,0.28,0.55,0.71,0.74,0.83,,
MINERAL WOOL AND FOAMS,226,"MINERAL WOOL AND FOAMS - Glass wool 50mm, 16 kg/m3",0.45,0.8,0.89,0.97,0.94,,
MINERAL WOOL AND FOAMS,227,"MINERAL WOOL AND FOAMS - Glass wool 75mm, 16 kg/m3",0.69,0.94,1,1,1,,
MINERAL WOOL AND FOAMS,228,"MINERAL WOOL AND FOAMS - Glass wool 100mm, 16 kg/m3",0.86,1,1,1,1,,
MINERAL WOOL AND FOAMS,229,"MINERAL WOOL AND FOAMS - Glass wool 25mm, 24 kg/m3",0.32,0.56,0.77,0.89,0.91,,
MINERAL WOOL AND FOAMS,230,"MINERAL WOOL AND FOAMS - Glass wool 50mm, 24 kg/m3",0.54,0.94,1,0.96,0.96,,
MINERAL WOOL AND FOAMS,231,"MINERAL WOOL AND FOAMS - Glass wool 75mm, 24 kg/m3",0.79,1,1,1,1,,
MINERAL WOOL AND FOAMS,232,"MINERAL WOOL AND FOAMS - Glass wool 100mm, 24 kg/m3",1,1,1,1,1,,
MINERAL WOOL AND FOAMS,233,"MINERAL WOOL AND FOAMS - Glass wool 50mm, 33 kg/m3",0.55,1,1,1,1,,
MINERAL WOOL AND FOAMS,234,"MINERAL WOOL AND FOAMS - Glass wool 75mm, 33 kg/m3",0.85,1,1,1,1,,
MINERAL WOOL AND FOAMS,235,"MINERAL WOOL AND FOAMS - Glass wool 100mm, 33 kg/m3",0.92,1,1,1,1,,
MINERAL WOOL AND FOAMS,236,"MINERAL WOOL AND FOAMS - Glass wool 50mm, 48 kg/m3",0.8,1,1,1,1,,
MINERAL WOOL AND FOAMS,237,"MINERAL WOOL AND FOAMS - Glass wool 75mm, 48 kg/m3",0.97,1,1,1,1,,
MINERAL WOOL AND FOAMS,238,"MINERAL WOOL AND FOAMS - Glass wool 100mm, 48 kg/m3",1,1,1,1,1,,
MINERAL WOOL AND FOAMS,239,"MINERAL WOOL AND FOAMS - Rock wool 50mm, 33 kg/m3 direct to masonry ",0.6,0.9,0.9,0.9,0.85,,
MINERAL WOOL AND FOAMS,240,"MINERAL WOOL AND FOAMS - Rock wool 100mm, 33 kg/m3 direct to masonry ",0.95,0.98,0.92,0.9,0.85,,
MINERAL WOOL AND FOAMS,241,"MINERAL WOOL AND FOAMS - Rock wool 50mm, 60 kg/m3 direct to masonry ",0.6,0.96,0.94,0.92,0.82,,
